Taxa,Location,Year,Rep,DTA,PH,GNP,TGW,YPP,ADF,Amylose,Cal.g,Fat,Fe,IVSD,Mg,Mn,Moisture,NDF,N.mg,P,Prolamin,Protein,Starch,Zn
PI17548,SC,2013,1,62,240,1269,15.1,21,6.61,17.9,4172,3.85,46,44.5,1554,14.53,10.89,9.36,8.82,0.355,4.67,10.71,66.7,19.48
PI24969,SC,2013,1,71,227,2067,31.5,66.3,3.84,14.4,4049,2.37,34.89,50.4,1395,14.05,11.16,6.8,8.83,0.331,4.37,11.05,72.2,18.24
PI34911,SC,2013,1,NA,196,697,29.8,18.9,5.81,16.8,4077,2.55,35,47.6,1313,12.95,10.97,9.69,8.47,0.312,4.32,10.49,71.1,17
PI35038,SC,2013,1,71,199,1328,12.8,18.8,7.33,16,4159,3.42,48.59,46.7,1541,14.95,10.76,10.25,9.6,0.359,4.9,11.55,65.2,20.21
PI48770,SC,2013,1,52,158,481,28.8,14.7,7.46,15.3,4079,2.19,43.76,52,1582,15.03,11.07,6.48,10.76,0.378,5.12,13.2,67.6,22.68
PI152651,SC,2013,1,64,192,1791,23.2,44.7,4.01,13,4033,2.44,30.32,53.2,1339,12.83,10.85,7.53,7.23,0.302,3.77,9.03,73.9,17.37
PI276837,SC,2013,1,96,361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI297130,SC,2013,1,111,368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI329435,SC,2013,1,NA,101,1209,10.1,13.7,6.01,14.2,4102,2.08,46.82,51.9,1857,16.25,10.94,6.31,11.65,0.415,5.42,14.56,66.8,23.45
PI329440,SC,2013,1,64,103,2215,18.5,38.4,4.46,15.7,4084,2.51,43.96,52.4,1411,13.4,10.31,10.2,8.69,0.325,3.85,10.7,70.1,18.15
PI505717,SC,2013,1,117,NA,341,25.5,9.2,6.41,16.1,4131,2.37,50.13,50.7,1811,15.71,10.81,8.29,11.63,0.406,5.25,14.53,64.7,22.24
PI533750,SC,2013,1,68,98,696,22.3,17.6,5.59,16.8,4180,3.66,56.07,48.9,1769,16.21,10.51,8.5,10.73,0.393,5.03,13.27,66.3,21.95
PI533752,SC,2013,1,69,132,1645,30,49.6,6.64,15.8,4136,2.61,50.25,46.4,1494,13.69,10.3,12.73,9.56,0.361,4.43,12.07,65.8,17.01
PI533754,SC,2013,1,64,112,670,21.7,15.7,6.39,15.9,4231,4.27,52.14,46.3,1764,15.03,10.41,9.62,10.5,0.383,5.12,13.07,66.7,21.54
PI533755,SC,2013,1,53,69,1141,32.3,38.6,6.93,18.7,4124,2.16,49.1,46.8,1705,14.1,10.83,11.59,11.02,0.394,5.59,13.96,67.5,18.25
PI533757,SC,2013,1,71,88,950,23.7,25.3,5.83,14.4,4039,2.02,44.54,48.3,1321,14.07,11.32,8.12,8.58,0.322,4.68,10.19,69,18.77
PI533758,SC,2013,1,69,114,2667,20.7,52.4,7.54,15,4073,2.19,47.57,49.9,1394,14.87,10.85,9.76,9.63,0.348,4.68,11.75,66.1,20.08
PI533759,SC,2013,1,66,230,2206,24.2,53.6,5.78,19.2,4105,2.6,39.15,46.7,1436,13.24,11.08,10.11,8.9,0.328,4.73,10.87,69.8,17.07
PI533760,SC,2013,1,61,79,1702,19.5,35.3,5.55,14.7,4080,2.17,45.4,53,1560,15.62,10.56,9.1,10.35,0.34,4.69,12.45,68.7,21.92
PI533761,SC,2013,1,69,133,1205,36.5,46.2,5.58,14.9,4095,2.63,43.99,49.2,1415,14.21,10.85,9.47,9.17,0.33,4.54,11.34,70.4,18.35
PI533762,SC,2013,1,65,84,1444,37,54.8,7.66,14.4,4082,1.64,42.72,51,1452,15,10.73,9.99,10.51,0.338,4.76,13.15,68.9,20.05
PI533766,SC,2013,1,61,106,1012,15.1,20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
