"Taxa","Year","Location","Rep","r1","r2","r3","r4","r5","r6","r7","r8","Amylose","Fat","Cal.g","Starch","Protein"
"CS_001","2014","SC","1",1,0,0,0,0,0,0,0,13.14,2.96,4119.23,70.06,11.84
"CS_002","2014","SC","1",1,0,0,0,0,0,0,0,12.63,2.65,4077.12,71.24,10.62
"CS_004","2014","SC","1",1,0,0,0,0,0,0,0,10.54,3.39,4151.21,69.19,11.32
"CS_005","2014","SC","1",1,0,0,0,0,0,0,0,11.39,3.09,4131.94,69.62,11.01
"CS_006","2014","SC","1",1,0,0,0,0,0,0,0,10.3,4.19,4124.66,68.81,10.46
"CS_007","2014","SC","1",1,0,0,0,0,0,0,0,9.59,3.54,4164.18,67.5,12.78
"CS_008","2014","SC","1",1,0,0,0,0,0,0,0,11.55,3.19,4082.93,68.91,9.95
"CS_010","2014","SC","1",1,0,0,0,0,0,0,0,7.81,3.27,4123.77,68.48,11.56
"CS_013","2014","SC","1",1,0,0,0,0,0,0,0,16.16,2.24,4064.68,72.59,10.04
"CS_014","2014","SC","1",1,0,0,0,0,0,0,0,13.49,2.13,4062.54,70.95,10.69
"CS_015","2014","SC","1",1,0,0,0,0,0,0,0,5.76,4.01,4143.38,66.65,11.86
"CS_016","2014","SC","1",1,0,0,0,0,0,0,0,13.95,3.72,4189.85,66.69,13.47
"CS_017","2014","SC","1",1,0,0,0,0,0,0,0,14.82,1.87,4024.16,72.77,9.8
"CS_018","2014","SC","1",1,0,0,0,0,0,0,0,13.46,2.32,4085.98,69.66,11.96
"CS_019","2014","SC","1",1,0,0,0,0,0,0,0,9.92,3.26,4126.96,65.48,13.14
"CS_022","2014","SC","1",1,0,0,0,0,0,0,0,14.41,4.13,4215.17,65.18,13.92
"CS_024","2014","SC","1",1,0,0,0,0,0,0,0,0.82,3.22,4065.94,70.26,10.72
"CS_025","2014","SC","1",1,0,0,0,0,0,0,0,16.02,2.72,4106.69,69.54,11.84
"CS_026","2014","SC","1",1,0,0,0,0,0,0,0,11.88,3.47,4120.94,70.02,10.77
"CS_027","2014","SC","1",1,0,0,0,0,0,0,0,7.34,3.3,4129.46,69.49,11.09
"CS_029","2014","SC","1",1,0,0,0,0,0,0,0,17.58,2.14,4081.33,71.9,11.2
"CS_031","2014","SC","1",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"CS_032","2014","SC","1",1,0,0,0,0,0,0,0,13.85,2.86,4111.83,68.6,12.05
"CS_033","2014","SC","1",1,0,0,0,0,0,0,0,14.23,3.03,4141.84,68.83,11.7
"CS_034","2014","SC","1",1,0,0,0,0,0,0,0,10.61,2.56,4078.81,71.52,11.45
"CS_035","2014","SC","1",1,0,0,0,0,0,0,0,5.72,2.75,4102.38,67.25,12.99
"CS_036","2014","SC","1",1,0,0,0,0,0,0,0,2.65,4.16,4183.28,64.23,13.92
"CS_037","2014","SC","1",1,0,0,0,0,0,0,0,5.48,3.37,4128.94,67.24,12.09
"CS_038","2014","SC","1",1,0,0,0,0,0,0,0,12.81,3.7,4169.52,68,11.88
"CS_039","2014","SC","1",1,0,0,0,0,0,0,0,13.79,2.9,4092.48,68.84,11.29
"CS_040","2014","SC","1",1,0,0,0,0,0,0,0,6.57,3.17,4082.47,70.99,10.86
"CS_041","2014","SC","1",1,0,0,0,0,0,0,0,10.85,3.66,4177.67,64.85,14.09
"CS_042","2014","SC","1",1,0,0,0,0,0,0,0,2.09,4.08,4166.38,66.22,12.19
"CS_043","2014","SC","1",1,0,0,0,0,0,0,0,15.83,2.55,4122.72,67.92,13.16
"CS_044","2014","SC","1",1,0,0,0,0,0,0,0,10.23,2.1,4052.15,71.78,10.59
"CS_047","2014","SC","1",1,0,0,0,0,0,0,0,6.91,4,4152.49,68.81,11.22
"CS_048","2014","SC","1",1,0,0,0,0,0,0,0,11.33,2.8,4096.6,69.45,11.07
"CS_050","2014","SC","1",1,0,0,0,0,0,0,0,2.66,3.75,4130.21,68.35,11.35
"CS_051","2014","SC","1",1,0,0,0,0,0,0,0,12.7,3.5,4124.4,67.52,11.58
"CS_052","2014","SC","1",1,0,0,0,0,0,0,0,15.1,2.33,4081.54,70.1,11.63
"CS_054","2014","SC","1",1,0,0,0,0,0,0,0,13.4,3.29,4102.82,69.74,10.71
"CS_055","2014","SC","1",1,0,0,0,0,0,0,0,6.18,3.48,4105.97,69.4,11.9
"CS_056","2014","SC","1",1,0,0,0,0,0,0,0,11.41,3.03,4102.7,68.69,11.61
"CS_057","2014","SC","1",1,0,0,0,0,0,0,0,12.17,2.61,4097.66,68.47,12.27
"CS_058","2014","SC","1",1,0,0,0,0,0,0,0,12.58,2.97,4123.67,71.51,10.61
"CS_059","2014","SC","1",1,0,0,0,0,0,0,0,5.47,2.77,4056.02,69.55,10.61
"CS_060","2014","SC","1",1,0,0,0,0,0,0,0,10.9,3.01,4112.42,65.92,13.06
"CS_061","2014","SC","1",1,0,0,0,0,0,0,0,3.43,3.51,4121.48,67.23,12.23
"CS_062","2014","SC","1",1,0,0,0,0,0,0,0,13.39,3.81,4177.36,67.07,12.12
"CS_063","2014","SC","1",1,0,0,0,0,0,0,0,12.43,3.44,4115.02,70.47,10.18
"CS_067","2014","SC","1",1,0,0,0,0,0,0,0,9.49,2.88,4100.6,69.15,11.52
"CS_069","2014","SC","1",1,0,0,0,0,0,0,0,8.42,3.96,4151.79,66.91,12.47
"CS_071","2014","SC","1",1,0,0,0,0,0,0,0,4.6,3.5,4122.24,67.41,11.96
"CS_073","2014","SC","1",1,0,0,0,0,0,0,0,12.61,2.41,4070.51,70.95,11.32
"CS_074","2014","SC","1",1,0,0,0,0,0,0,0,13.44,2.78,4088.07,70.76,10.87
"CS_075","2014","SC","1",1,0,0,0,0,0,0,0,7.07,3.53,4169.12,67.54,13.77
"CS_076","2014","SC","1",1,0,0,0,0,0,0,0,6.09,3.92,4161.69,66.11,11.87
"CS_077","2014","SC","1",1,0,0,0,0,0,0,0,15.39,2.19,4109.84,69.59,13.9
"CS_078","2014","SC","1",1,0,0,0,0,0,0,0,13.84,2.73,4105.16,70.53,11.7
"CS_079","2014","SC","1",1,0,0,0,0,0,0,0,14.61,2.79,4117.3,68.04,12.44
"CS_080","2014","SC","1",1,0,0,0,0,0,0,0,5.73,3.89,4159.11,66.82,11.59
"CS_081","2014","SC","1",1,0,0,0,0,0,0,0,13.63,2.59,4094.43,69.96,10.79
"CS_082","2014","SC","1",1,0,0,0,0,0,0,0,14.93,2.16,4059.03,71.49,12.15
"CS_083","2014","SC","1",1,0,0,0,0,0,0,0,14.2,2.09,4083.76,70.07,11.34
"CS_084","2014","SC","1",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"CS_085","2014","SC","1",1,0,0,0,0,0,0,0,12.78,2.95,4127.81,69.04,11.95
"CS_088","2014","SC","1",1,0,0,0,0,0,0,0,14.71,2.51,4067.01,70.96,10.96
"CS_089","2014","SC","1",1,0,0,0,0,0,0,0,13.14,1.93,4024.5,71.87,10.87
"CS_090","2014","SC","1",1,0,0,0,0,0,0,0,9.82,3.82,4129.79,69.31,10.85
"CS_091","2014","SC","1",1,0,0,0,0,0,0,0,9.7,2.58,4087.36,67.6,12.82
"CS_092","2014","SC","1",1,0,0,0,0,0,0,0,4.97,3.08,4084.52,69.41,10.27
"CS_093","2014","SC","1",1,0,0,0,0,0,0,0,11.53,2.32,4055.72,70.55,10.59
"CS_094","2014","SC","1",1,0,0,0,0,0,0,0,7.67,3.83,4145.6,66.92,11.74
"CS_097","2014","SC","1",1,0,0,0,0,0,0,0,14.57,2.17,4046.76,70.95,9.89
"CS_098","2014","SC","1",1,0,0,0,0,0,0,0,6.29,4.21,4166.88,66.98,11.18
"CS_099","2014","SC","1",1,0,0,0,0,0,0,0,6.27,3.67,4146.76,66.93,12.99
