"Taxa","Year","Rep","r1","r2","r3","r4","r5","r6","Amylose","Fat","Cal.g","Starch","Protein"
"PI152651","2013","1",1,0,0,0,0,0,13,2.44,4033,73.9,9.03
"PI17548","2013","1",1,0,0,0,0,0,17.9,3.85,4172,66.7,10.71
"PI24969","2013","1",1,0,0,0,0,0,14.4,2.37,4049,72.2,11.05
"PI329435","2013","1",1,0,0,0,0,0,14.2,2.08,4102,66.8,14.56
"PI329440","2013","1",1,0,0,0,0,0,15.7,2.51,4084,70.1,10.7
"PI34911","2013","1",1,0,0,0,0,0,16.8,2.55,4077,71.1,10.49
"PI35038","2013","1",1,0,0,0,0,0,16,3.42,4159,65.2,11.55
"PI48770","2013","1",1,0,0,0,0,0,15.3,2.19,4079,67.6,13.2
"PI533750","2013","1",1,0,0,0,0,0,16.8,3.66,4180,66.3,13.27
"PI533752","2013","1",1,0,0,0,0,0,15.8,2.61,4136,65.8,12.07
"PI533754","2013","1",1,0,0,0,0,0,15.9,4.27,4231,66.7,13.07
"PI533755","2013","1",1,0,0,0,0,0,18.7,2.16,4124,67.5,13.96
"PI533757","2013","1",1,0,0,0,0,0,14.4,2.02,4039,69,10.19
"PI533758","2013","1",1,0,0,0,0,0,15,2.19,4073,66.1,11.75
"PI533759","2013","1",1,0,0,0,0,0,19.2,2.6,4105,69.8,10.87
"PI533760","2013","1",1,0,0,0,0,0,14.7,2.17,4080,68.7,12.45
"PI533761","2013","1",1,0,0,0,0,0,14.9,2.63,4095,70.4,11.34
"PI533762","2013","1",1,0,0,0,0,0,14.4,1.64,4082,68.9,13.15
"PI533766","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI533769","2013","1",1,0,0,0,0,0,12,2.69,4092,67,11.83
"PI533776","2013","1",1,0,0,0,0,0,20,2.22,4087,68.6,13.15
"PI533785","2013","1",1,0,0,0,0,0,16.2,2.44,4091,68.5,12.59
"PI533788","2013","1",1,0,0,0,0,0,14.7,2.18,4111,67.7,11.38
"PI533789","2013","1",1,0,0,0,0,0,17.3,2.65,4114,69,11
"PI533792","2013","1",1,0,0,0,0,0,18.9,2.1,4091,67.6,11.41
"PI533794","2013","1",1,0,0,0,0,0,10.4,2.54,4065,71.9,10.14
"PI533799","2013","1",1,0,0,0,0,0,17.9,3.04,4156,67.6,13.68
"PI533800","2013","1",1,0,0,0,0,0,18.1,2.73,4166,65.3,13.91
"PI533807","2013","1",1,0,0,0,0,0,12.9,2.42,4027,72.1,8.86
"PI533810","2013","1",1,0,0,0,0,0,13.4,2.83,4131,71.2,11.61
"PI533814","2013","1",1,0,0,0,0,0,16.8,1.79,4050,70.6,11.42
"PI533821","2013","1",1,0,0,0,0,0,13.7,2.02,4054,67.2,10.14
"PI533822","2013","1",1,0,0,0,0,0,16.7,2.56,4141,69.4,13.53
"PI533824","2013","1",1,0,0,0,0,0,17.2,2.9,4145,66.8,11.45
"PI533830","2013","1",1,0,0,0,0,0,19.3,1.84,4158,65.2,14.89
"PI533831","2013","1",1,0,0,0,0,0,18.3,2.41,4087,70.2,11.57
"PI533833","2013","1",1,0,0,0,0,0,15.7,1.83,4048,66.8,10.11
"PI533838","2013","1",1,0,0,0,0,0,14.9,2.19,4077,69.4,11.32
"PI533839","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI533841","2013","1",1,0,0,0,0,0,17.3,2.17,4115,69,13.75
"PI533842","2013","1",1,0,0,0,0,0,15.7,2.36,4100,69.3,12.48
"PI533843","2013","1",1,0,0,0,0,0,17.7,3.47,4152,67.7,12.7
"PI533845","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI533852","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI533855","2013","1",1,0,0,0,0,0,17.4,3.06,4137,67.7,13.46
"PI533856","2013","1",1,0,0,0,0,0,17.9,2.09,4071,68.7,11.78
"PI533863","2013","1",1,0,0,0,0,0,19,2.23,4129,66,13.89
"PI533866","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI533869","2013","1",1,0,0,0,0,0,20.5,2.53,4123,67.9,13.3
"PI533871","2013","1",1,0,0,0,0,0,14,2.62,4040,71.5,8.96
"PI533876","2013","1",1,0,0,0,0,0,15.2,2.22,4080,70.6,11.31
"PI533877","2013","1",1,0,0,0,0,0,17.8,2.4,4092,69.7,12.57
"PI533878","2013","1",1,0,0,0,0,0,16.9,1.64,4051,69.3,12.55
"PI533882","2013","1",1,0,0,0,0,0,20.5,1.81,4065,66.8,12.36
"PI533901","2013","1",1,0,0,0,0,0,12.5,2.72,4032,72.7,8.24
"PI533902","2013","1",1,0,0,0,0,0,17.5,3.16,4129,68.9,11.37
"PI533903","2013","1",1,0,0,0,0,0,19.7,2.78,4107,66.3,10.38
"PI533910","2013","1",1,0,0,0,0,0,15.6,3.23,4148,65.4,12.68
"PI533911","2013","1",1,0,0,0,0,0,17.4,2.8,4138,64.6,13.73
"PI533912","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI533913","2013","1",1,0,0,0,0,0,16.3,3.82,4194,64.2,12.17
"PI533915","2013","1",1,0,0,0,0,0,16.5,2.63,4108,71.1,12.51
"PI533919","2013","1",1,0,0,0,0,0,15.6,3.5,4230,63.5,13.8
"PI533924","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI533927","2013","1",1,0,0,0,0,0,18.8,2.29,4175,63.8,13.63
"PI533936","2013","1",1,0,0,0,0,0,14.7,3.36,4129,67,11.18
"PI533937","2013","1",1,0,0,0,0,0,16,2.8,4083,70.4,11.37
"PI533938","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
