"t","s"
"Amylose_2014_SC","123"
"Fat_2014_SC","123"
"GrossEnergy_2014_SC","123"
"Starch_2014_SC","123"
"Protein_2014_SC","123"
"Amylose_2015_SC","123"
"Fat_2015_SC","123"
"GrossEnergy_2015_SC","123"
"Starch_2015_SC","123"
"Protein_2015_SC","123"
"Amylose_2014_TX","123"
"Fat_2014_TX","123"
"GrossEnergy_2014_TX","123"
"Starch_2014_TX","123"
"Protein_2014_TX","123"
"Amylose_2015_TX","123"
"Fat_2015_TX","123"
"Amylose_2014_SC","124"
"Fat_2014_SC","124"
"GrossEnergy_2014_SC","124"
"Starch_2014_SC","124"
"Protein_2014_SC","124"
"Amylose_2015_SC","124"
"Fat_2015_SC","124"
"GrossEnergy_2015_SC","124"
"Starch_2015_SC","124"
"Protein_2015_SC","124"
"Amylose_2014_TX","124"
"Fat_2014_TX","124"
"GrossEnergy_2014_TX","124"
"Starch_2014_TX","124"
"Protein_2014_TX","124"
"Amylose_2015_TX","124"
"Fat_2015_TX","124"
"Amylose_2014_SC","125"
"Fat_2014_SC","125"
"GrossEnergy_2014_SC","125"
"Starch_2014_SC","125"
"Protein_2014_SC","125"
"Amylose_2015_SC","125"
"Fat_2015_SC","125"
"GrossEnergy_2015_SC","125"
"Starch_2015_SC","125"
"Protein_2015_SC","125"
"Amylose_2014_TX","125"
"Fat_2014_TX","125"
"GrossEnergy_2014_TX","125"
"Starch_2014_TX","125"
"Protein_2014_TX","125"
"Amylose_2015_TX","125"
"Fat_2015_TX","125"
"Amylose_2014_SC","126"
"Fat_2014_SC","126"
"GrossEnergy_2014_SC","126"
"Starch_2014_SC","126"
"Protein_2014_SC","126"
"Amylose_2015_SC","126"
"Fat_2015_SC","126"
"GrossEnergy_2015_SC","126"
"Starch_2015_SC","126"
"Protein_2015_SC","126"
"Amylose_2014_TX","126"
"Fat_2014_TX","126"
"GrossEnergy_2014_TX","126"
"Starch_2014_TX","126"
"Protein_2014_TX","126"
"Amylose_2015_TX","126"
"Fat_2015_TX","126"
"Amylose_2014_SC","127"
"Fat_2014_SC","127"
"GrossEnergy_2014_SC","127"
"Starch_2014_SC","127"
"Protein_2014_SC","127"
"Amylose_2015_SC","127"
"Fat_2015_SC","127"
"GrossEnergy_2015_SC","127"
"Starch_2015_SC","127"
"Protein_2015_SC","127"
"Amylose_2014_TX","127"
"Fat_2014_TX","127"
"GrossEnergy_2014_TX","127"
"Starch_2014_TX","127"
"Protein_2014_TX","127"
"Amylose_2015_TX","127"
"Fat_2015_TX","127"
"Amylose_2014_SC","128"
"Fat_2014_SC","128"
"GrossEnergy_2014_SC","128"
"Starch_2014_SC","128"
"Protein_2014_SC","128"
"Amylose_2015_SC","128"
"Fat_2015_SC","128"
"GrossEnergy_2015_SC","128"
"Starch_2015_SC","128"
"Protein_2015_SC","128"
"Amylose_2014_TX","128"
"Fat_2014_TX","128"
"GrossEnergy_2014_TX","128"
"Starch_2014_TX","128"
"Protein_2014_TX","128"
"Amylose_2015_TX","128"
"Fat_2015_TX","128"
"Amylose_2014_SC","129"
"Fat_2014_SC","129"
"GrossEnergy_2014_SC","129"
"Starch_2014_SC","129"
"Protein_2014_SC","129"
"Amylose_2015_SC","129"
"Fat_2015_SC","129"
"GrossEnergy_2015_SC","129"
"Starch_2015_SC","129"
"Protein_2015_SC","129"
"Amylose_2014_TX","129"
"Fat_2014_TX","129"
"GrossEnergy_2014_TX","129"
"Starch_2014_TX","129"
"Protein_2014_TX","129"
"Amylose_2015_TX","129"
"Fat_2015_TX","129"
"Amylose_2014_SC","130"
"Fat_2014_SC","130"
"GrossEnergy_2014_SC","130"
"Starch_2014_SC","130"
"Protein_2014_SC","130"
"Amylose_2015_SC","130"
"Fat_2015_SC","130"
"GrossEnergy_2015_SC","130"
"Starch_2015_SC","130"
"Protein_2015_SC","130"
"Amylose_2014_TX","130"
"Fat_2014_TX","130"
"GrossEnergy_2014_TX","130"
"Starch_2014_TX","130"
"Protein_2014_TX","130"
"Amylose_2015_TX","130"
"Fat_2015_TX","130"
"Amylose_2014_SC","131"
"Fat_2014_SC","131"
"GrossEnergy_2014_SC","131"
"Starch_2014_SC","131"
"Protein_2014_SC","131"
"Amylose_2015_SC","131"
"Fat_2015_SC","131"
"GrossEnergy_2015_SC","131"
"Starch_2015_SC","131"
"Protein_2015_SC","131"
"Amylose_2014_TX","131"
"Fat_2014_TX","131"
"GrossEnergy_2014_TX","131"
"Starch_2014_TX","131"
"Protein_2014_TX","131"
"Amylose_2015_TX","131"
"Fat_2015_TX","131"
"Amylose_2014_SC","132"
"Fat_2014_SC","132"
"GrossEnergy_2014_SC","132"
"Starch_2014_SC","132"
"Protein_2014_SC","132"
"Amylose_2015_SC","132"
"Fat_2015_SC","132"
"GrossEnergy_2015_SC","132"
"Starch_2015_SC","132"
"Protein_2015_SC","132"
"Amylose_2014_TX","132"
"Fat_2014_TX","132"
"GrossEnergy_2014_TX","132"
"Starch_2014_TX","132"
"Protein_2014_TX","132"
"Amylose_2015_TX","132"
"Fat_2015_TX","132"
