"V1","df2"
"Amylose2013",123
"Amylose2014",123
"Amylose2017",123
"Gross_Energy2013",123
"Gross_Energy2014",123
"Gross_Energy2017",123
"Fat2013",123
"Fat2014",123
"Fat2017",123
"Protein2013",123
"Protein2014",123
"Protein2017",123
"Starch2013",123
"Starch2014",123
"Starch2017",123
"Amylose2013",124
"Amylose2014",124
"Amylose2017",124
"Gross_Energy2013",124
"Gross_Energy2014",124
"Gross_Energy2017",124
"Fat2013",124
"Fat2014",124
"Fat2017",124
"Protein2013",124
"Protein2014",124
"Protein2017",124
"Starch2013",124
"Starch2014",124
"Starch2017",124
"Amylose2013",125
"Amylose2014",125
"Amylose2017",125
"Gross_Energy2013",125
"Gross_Energy2014",125
"Gross_Energy2017",125
"Fat2013",125
"Fat2014",125
"Fat2017",125
"Protein2013",125
"Protein2014",125
"Protein2017",125
"Starch2013",125
"Starch2014",125
"Starch2017",125
"Amylose2013",126
"Amylose2014",126
"Amylose2017",126
"Gross_Energy2013",126
"Gross_Energy2014",126
"Gross_Energy2017",126
"Fat2013",126
"Fat2014",126
"Fat2017",126
"Protein2013",126
"Protein2014",126
"Protein2017",126
"Starch2013",126
"Starch2014",126
"Starch2017",126
"Amylose2013",127
"Amylose2014",127
"Amylose2017",127
"Gross_Energy2013",127
"Gross_Energy2014",127
"Gross_Energy2017",127
"Fat2013",127
"Fat2014",127
"Fat2017",127
"Protein2013",127
"Protein2014",127
"Protein2017",127
"Starch2013",127
"Starch2014",127
"Starch2017",127
"Amylose2013",128
"Amylose2014",128
"Amylose2017",128
"Gross_Energy2013",128
"Gross_Energy2014",128
"Gross_Energy2017",128
"Fat2013",128
"Fat2014",128
"Fat2017",128
"Protein2013",128
"Protein2014",128
"Protein2017",128
"Starch2013",128
"Starch2014",128
"Starch2017",128
"Amylose2013",129
"Amylose2014",129
"Amylose2017",129
"Gross_Energy2013",129
"Gross_Energy2014",129
"Gross_Energy2017",129
"Fat2013",129
"Fat2014",129
"Fat2017",129
"Protein2013",129
"Protein2014",129
"Protein2017",129
"Starch2013",129
"Starch2014",129
"Starch2017",129
"Amylose2013",130
"Amylose2014",130
"Amylose2017",130
"Gross_Energy2013",130
"Gross_Energy2014",130
"Gross_Energy2017",130
"Fat2013",130
"Fat2014",130
"Fat2017",130
"Protein2013",130
"Protein2014",130
"Protein2017",130
"Starch2013",130
"Starch2014",130
"Starch2017",130
"Amylose2013",131
"Amylose2014",131
"Amylose2017",131
"Gross_Energy2013",131
"Gross_Energy2014",131
"Gross_Energy2017",131
"Fat2013",131
"Fat2014",131
"Fat2017",131
"Protein2013",131
"Protein2014",131
"Protein2017",131
"Starch2013",131
"Starch2014",131
"Starch2017",131
"Amylose2013",132
"Amylose2014",132
"Amylose2017",132
"Gross_Energy2013",132
"Gross_Energy2014",132
"Gross_Energy2017",132
"Fat2013",132
"Fat2014",132
"Fat2017",132
"Protein2013",132
"Protein2014",132
"Protein2017",132
"Starch2013",132
"Starch2014",132
"Starch2017",132
"Amylose2013",133
"Amylose2014",133
"Amylose2017",133
"Gross_Energy2013",133
"Gross_Energy2014",133
"Gross_Energy2017",133
"Fat2013",133
"Fat2014",133
"Fat2017",133
"Protein2013",133
"Protein2014",133
"Protein2017",133
"Starch2013",133
"Starch2014",133
"Starch2017",133
"Amylose2013",134
"Amylose2014",134
"Amylose2017",134
"Gross_Energy2013",134
"Gross_Energy2014",134
"Gross_Energy2017",134
"Fat2013",134
"Fat2014",134
"Fat2017",134
"Protein2013",134
"Protein2014",134
"Protein2017",134
"Starch2013",134
"Starch2014",134
"Starch2017",134
"Amylose2013",135
"Amylose2014",135
"Amylose2017",135
"Gross_Energy2013",135
"Gross_Energy2014",135
"Gross_Energy2017",135
"Fat2013",135
"Fat2014",135
"Fat2017",135
"Protein2013",135
"Protein2014",135
"Protein2017",135
"Starch2013",135
"Starch2014",135
"Starch2017",135
"Amylose2013",136
"Amylose2014",136
"Amylose2017",136
"Gross_Energy2013",136
"Gross_Energy2014",136
"Gross_Energy2017",136
"Fat2013",136
"Fat2014",136
"Fat2017",136
"Protein2013",136
"Protein2014",136
"Protein2017",136
"Starch2013",136
"Starch2014",136
"Starch2017",136
"Amylose2013",137
"Amylose2014",137
"Amylose2017",137
"Gross_Energy2013",137
"Gross_Energy2014",137
"Gross_Energy2017",137
"Fat2013",137
"Fat2014",137
"Fat2017",137
"Protein2013",137
"Protein2014",137
"Protein2017",137
"Starch2013",137
"Starch2014",137
"Starch2017",137
"Amylose2013",138
"Amylose2014",138
"Amylose2017",138
"Gross_Energy2013",138
"Gross_Energy2014",138
"Gross_Energy2017",138
"Fat2013",138
"Fat2014",138
"Fat2017",138
"Protein2013",138
"Protein2014",138
"Protein2017",138
"Starch2013",138
"Starch2014",138
"Starch2017",138
"Amylose2013",139
"Amylose2014",139
"Amylose2017",139
"Gross_Energy2013",139
"Gross_Energy2014",139
"Gross_Energy2017",139
"Fat2013",139
"Fat2014",139
"Fat2017",139
"Protein2013",139
"Protein2014",139
"Protein2017",139
"Starch2013",139
"Starch2014",139
"Starch2017",139
"Amylose2013",140
"Amylose2014",140
"Amylose2017",140
"Gross_Energy2013",140
"Gross_Energy2014",140
"Gross_Energy2017",140
"Fat2013",140
"Fat2014",140
"Fat2017",140
"Protein2013",140
"Protein2014",140
"Protein2017",140
"Starch2013",140
"Starch2014",140
"Starch2017",140
"Amylose2013",141
"Amylose2014",141
"Amylose2017",141
"Gross_Energy2013",141
"Gross_Energy2014",141
"Gross_Energy2017",141
"Fat2013",141
"Fat2014",141
"Fat2017",141
"Protein2013",141
"Protein2014",141
"Protein2017",141
"Starch2013",141
"Starch2014",141
"Starch2017",141
"Amylose2013",142
"Amylose2014",142
"Amylose2017",142
"Gross_Energy2013",142
"Gross_Energy2014",142
"Gross_Energy2017",142
"Fat2013",142
"Fat2014",142
"Fat2017",142
"Protein2013",142
"Protein2014",142
"Protein2017",142
"Starch2013",142
"Starch2014",142
"Starch2017",142
